Title,Seasons,Episodes,Country,Premiere Year,Final Year,Original Channel,Technique
Gargoyles,3,78,US,1994,1997,"ABC, Syndication",Traditional
Gary & Mike,1,13,United States,2001,2001,UPN,Stop Motion
Gary the Rat,,13,United States,2003,2003,Spike TV,Flash
Gasp!,,52,"Australia, United States",2011,2011,Nine Network,Flash
Gaspard and Lisa,,51,Britain,2011,2012,Disney Junior,CGI
Gattu Battu,,,India,2017,2020,"Nickelodeon Sonic, Rishtey",CGI
Gawayn,2,104,France,2009,2012,"France 3, Clan",Flash
Generation Jets,,13,United States,2003,2004,WCBS-TV,Traditional
Generation O!,1,13,United States,2000,2001,Kids' WB,Traditional
Generator Rex,3,60,United States,2010,2013,"Cartoon Network, Tooncast",Traditional
George and Martha,1,26,"Canada, US",1999,2000,"HBO Family, YTV",Traditional
George of the Jungle,,52,"Canada, United States",2007,2008,"Teletoon, Cartoon Network",Flash
George of the Jungle,,52,"Canada, United States",2016,2017,"Teletoon, Cartoon Network",Flash
George Shrinks,3,40,"Canada, China",2000,2003,PBS Kids,Traditional
Gerald McBoing-Boing,2,26,"Canada, United States",2005,2007,"Teletoon (Canada), Cartoon Network (United States)",Flash
Geronimo Stilton,,78,"France, Italy, United States",2009,2017,"Rai 2, G4TV",Traditional
Gerry Anderson's New Captain Scarlet,2,26,Britain,2005,2005,ITV,CGI
Get Ace,,52,Australia,2014,2020,Eleven,Flash
Get Blake!,1,26,"France, United States",2015,2015,"Nickelodeon (France), Gulli (France), Nicktoons (United States)",Flash
Get Ed,1,26,"Canada, United States",2005,2006,"Jetix (Toon Disney), ABC Family",CGI
Get Rolling with Otis,1,9,United States,2021,Present,Apple TV+,CGI
Ghostforce,1,52,United States,2021,Present,Disney Channel,CGI
Giga Tribe,,39,South Korea,2008,2009,,
Gigablaster,,52,Brazil,2019,Present,Gloob,Flash
Gigantosaurus,,52,France,2019,Present,Disney Junior,CGI
Girlstuff/Boystuff,2,58,Canada,2002,2005,YTV,Traditional
"Glenn Martin, DDS",,40,"Canada, United States",2009,2011,Nick at Nite,Stop motion
Glitch Techs,2,19,United States,2020,Present,Netflix,Flash
Glitter Model,,13,Brazil,2016,2016,Disney Channel,CGI
"Go Away, Unicorn!",,52,"Canada, United States",2018,2019,"YTV, Disney Channel",Traditional
Go Jetters,3,154,United Kingdom,2015,2020,CBeebies,CGI
"Go, Diego, Go!",5,80,United States,2005,2011,Nickelodeon,Traditional
"Go, Dog, Go!",2,18,United States,2021,Present,Netflix,CGI
Go! Go! Cory Carson,6,63,"France, United States",2020,Present,Netflix,CGI
"God, the Devil and Bob",1,13,United States,2000,2011,"NBC, Adult Swim",Traditional
Godzilla: The Series,2,40,US,1998,2000,Fox Kids,Traditional
Gofrette,,26,"Canada, France",2007,2008,CBC Kids,Flash
Golan the Insatiable,2,12,United States,2013,2015,Fox,Flash
Goldie & Bear,2,45,United States,2015,2018,Disney Junior,CGI
Golmaal Jr.,,,India,2019,2019,Nickelodeon Sonic,Traditional
Good Vibes,,12,United States,2011,2011,MTV,Flash
Goof Troop,2,78,US,1992,1993,"The Disney Channel (1992), Syndication (season 1), ABC (season 2)",Traditional
Gordon the Garden Gnome,1,52,"Australia, Britain",2005,2005,"CBeebies (United Kingdom), ABC Kids (Australia)",Traditional
Gormiti,,26,Britain,2009,2011,Nicktoons,CGI
Gravedale High,1,13,US,1990,1991,NBC,Traditional
Gravity Falls,2,40,United States,2012,2016,"Disney Channel (Season 1), Disney XD (Season 2)",Traditional
Greatest Party Story Ever,,20,United States,2016,2016,MTV,Traditional
Green Eggs and Ham,2,23,United States,2019,Present,Netflix,Traditional
Green Lantern: The Animated Series,,26,United States,2011,2013,Cartoon Network,CGI
Grim & Evil,3,13,United States,2001,2002,Cartoon Network,Traditional
Grizzly Tales (Cautionary Tales for Lovers of Squeam!),2,26,Britain,2011,2012,NickToons,"CGI, Flash"
Grizzly Tales for Gruesome Kids,6,79,Britain,2000,2006,CITV,"Traditional, Claymation, Flash"
Grizzy and the Lemmings,,78,France,2016,Present,Boomerang,CGI
Grojband,1,51,Canada,2013,2015,Teletoon (2013–14),Flash
Grossology,,52,Canada,2006,2009,YTV,Flash
Growing Up Creepie,,26,"Canada, United States",2006,2008,Discovery Kids,Flash
Growing with Lottie Dottie,1,13,Brazil,2021,Present,YouTube,Flash
Guardians Evolution,,12,Canada,2014,2015,APTN Kids,Stop motion
Guardians of the Galaxy,3,77,United States,2015,2019,Disney XD,Traditional
Guess How Much I Love You,,40,"Canada, United States",2012,2014,Disney Junior,Flash
Guess with Jess,,52,"Britain, Canada",2009,2013,"CBeebies, Treehouse TV",CGI
Gummibär & Friends: The Gummy Bear Show,2,73,Germany,2016,Present,YouTube,CGI
Gus – the Itsy Bitsy Knight,1,52,"France, United States",2021,Present,Tiny Pop,CGI
H2O: Mermaid Adventures,2,26,"Australia, France, Canada",2015,2015,Netflix,Traditional
Halvseint,,10,Norway,2007,2008,NRK1,Traditional
Hammerman,1,13,"Canada, US",1991,1991,ABC,Traditional
Hamster & Gretel,1,8,United States,2022,Present,Disney Channel,Flash
Hamsterdale,TBA,TBA,United States,2022,2022,Nickelodeon,Flash
Hanazuki: Full of Treasures,2,40,United States,2017,2019,"YouTube (Hasbro), Discovery Kids (Latin American)",Flash
Handy Manny,,113,"Canada, United States",2006,2013,Playhouse Disney,CGI
Handy Manny's School for Tools,1,19,"Canada, United States",2010,2011,Disney Junior,CGI
Happy House of Frightenstein,1,10,Canada,2021,Present,Family Jr.,Flash
Happy Monster Band,,20,"Britain, United States",2007,2008,Playhouse Disney,Flash
Happy Ness: The Secret of the Loch,1,13,UK,1995,1995,???,Traditional
Happy Tree Friends,5,194,"Canada, US",1999,Present,"YouTube, Mondo Media",Flash
Hareport,1,26,France,2010,2010,TF1,CGI
Harley Quinn,2,26,United States,2019,Present,DC Universe,Flash
Harmony.0,10,"100+ (as of April 1, 2019)",Canada,2009,2019,Showcase,Traditional
Harold and the Purple Crayon,1,13,United States,2002,2002,HBO,Traditional
Harp and Friends,1,10,South Korea,2022,Present,EBS,CGI
Harriet the Spy,1,10,United States,2021,Present,Apple TV+,Flash
Harry & Bunnie,,78,Malaysia,2016,2016,Disney Channel,Flash
Harry and His Bucket Full of Dinosaurs,22,104,"Canada, Britain",2005,2008,"Teletoon (Canada), Treehouse TV (Canada), Discovery Kids (Latin American)",Traditional
Harvey Beaks,2,52,United States,2015,2017,"Nickelodeon (2015–16), Nicktoons (2017)",Traditional
"Harvey Birdman, Attorney at Law",4,39,United States,2001,2007,Adult Swim,Flash
Harvey Girls Forever!,4,52,France,2018,2020,"France 3, Netflix",Flash
Haunted Tales for Wicked Kids,2,40,Brazil,2013,2016,Cartoon Network,Flash
Have a Laugh!,,55,United States,2009,2012,Disney Channel,Traditional
Hazbin Hotel,1,1,United States,2019,2019,YouTube,Flash
HBO Storybook Musicals,1,18,US,1987,1993,HBO,Traditional
He-Man and the Masters of the Universe,2,39,United States,2002,2004,Cartoon Network,Traditional
He-Man and the Masters of the Universe,2,18,United States,2021,Present,Netflix,CGI
Headspace Guide to Meditation,1,8,United States,2021,2021,Netflix,Flash
Headspace Guide to Sleep,1,7,United States,2021,2021,Netflix,Traditional
Hell Den,2,12,United States,2019,2020,"DrinkTV, Syfy",Flash
Hello Kitty and Friends: Supercute Adventures,4,54,"United States, Brazil, Japan",2020,Present,YouTube,Flash
Hello Kitty's Furry Tale Theater,1,13,"US, Canada, Japan",1987,1987,CBS,Traditional
Hello Ninja,,10,Canada,2019,Present,Netflix,CGI
Hello Totobi,,104,South Korea,2011,2013,MBC,Traditional/Flash
Helluva Boss,1,6,United States,2019,2021,YouTube,Flash
Henry Hugglemonster,2,49,"Ireland, Britain, United States",2013,2015,Disney Junior,CGI
Henry's World,2,26,Canada,2002,2005,Family Channel,Stop motion
Hercules: The Animated Series,2,65,US,1998,1999,ABC,Traditional
Hero Elementary,1,40,United States,2020,Present,PBS Kids,Flash
Hero Factory,1,11,Denmark,2010,2014,Nicktoons,CGI
Hero: 108,2,52,"UK, Canada, Taiwan, United States",2010,2012,Cartoon Network,Flash
Hey Arnold!,5,100,US,1996,2004,Nickelodeon,Traditional
Hey Duggee,,156,Britain,2014,Present,CBeebies,Flash
Hey Joel,,13,United States,2003,2003,VH1,Flash
Hey Monie!,,25,United States,2003,2003,BET,Flash
Hey Yo Yorang,,26,"South Korea, China",2003,2004,"KBS2, CCTV-6",Traditional
Hi Hi Puffy AmiYumi,3,39,United States,2004,2006,Cartoon Network,Flash
Higglytown Heroes,,65,United States,2004,2008,Playhouse Disney,CGI
High School USA!,1,12,United States,2013,2015,"Fox, FXX",Flash
Highlander: The Animated Series,2,40,"US, France",1994,1996,"USA Network, Syndication",Traditional
Hilda,2,26,"Canada, Britain",2018,Present,Netflix,Traditional
Hilltop Hospital,2,52,UK,1999,1999,ITV Network,Stop Motion
Histeria!,2,52,US,1998,2000,The WB,Traditional
Hit-Monkey,1,10,United States,2021,Present,Hulu,Traditional
HobbyKids Adventures,2,27,United States,2019,2020,YouTube,Flash
Home Movies,4,52,US,1999,2004,"UPN, Adult Swim",Traditional
Home: Adventures with Tip & Oh,,52,United States,2016,2018,Netflix,Flash
Honey Bear Bery,1,26,South Korea,2021,2021,Netflix,Flash
Hoops,1,10,United States,2020,2020,Netflix,Flash
Hopeless Pictures,1,9,United States,2005,2005,IFC,Flash
Hopla,1,13,Belgium,1999,1999,RTP2,CGI
Horrible Histories,2,26,Britain,2001,2002,ABC1,Traditional
Horrid Henry,,208,"Britain, Canada (Series 1)",2006,2019,"CITV, Nickelodeon UK, and Nicktoons UK",Traditional (Season 1-5) Flash (Season 5)
Horseland,,39,United States,2006,2007,CBS,Traditional
Hot Streets,2,20,United States,2018,2019,Adult Swim,Flash
Hot Wheels Battle Force 5,,52,"Canada, United States",2009,2011,"Teletoon, Cartoon Network",CGI
Hotel Transylvania: The Series,2,52,"Canada, United States",2017,2020,"Disney Channel, Teletoon",Toon Boom Harmony
House of Mouse,3,52,United States,2001,2003,Toon Disney,Traditional
Housebroken,1,11,United States,2021,Present,Fox,Flash
Hoze Houndz,6,78,Canada,1999,1999,Family Channel,Traditional
Hulk and the Agents of S.M.A.S.H.,2,52,United States,2013,2015,Disney XD,Traditional
Human Kind Of,,21,United States,2018,2018,Facebook Watch,Traditional
Human Resources,1,10,United States,2022,Present,Netflix,Flash
Huntik: Secrets & Seekers,,52,Italy,2009,2012,Televisa,Traditional
Hurricanes,5,65,"UK,US",1993,1997,Syndication,Traditional
Huxley Pig,1,26,UK,1989,1990,Central TV,Stop-motion
I Am Groot,1,5,United States,2022,2022,Disney+,CGI
I Am Weasel,5,79,US,1997,2000,Cartoon Network,Traditional
I Got a Rocket,,52,"Australia, United States",2006,2007,Network Ten,Flash
I Heart Arlo,1,20,United States,2021,2021,Netflix,Flash
I.N.K. Invisible Network of Kids,,26,French,2009,2009,,
I.N.K. Invisible Network of Kids,2,26,France,2010,2012,France 3,Flash
Ice Age: Scrat Tales,1,6,United States,2022,2022,Disney+,CGI
Ico Bit Zip,,26,Brazil,2019,Present,Nat Geo Kids (Latin America),Flash
If You Give a Mouse a Cookie,,33,United States,2017,Present,Amazon Video,Traditional
Igam Ogam,,52,Welsh,2009,2013,Channel 5,Stop motion
Iggy Arbuckle,,26,"Canada, United States",2007,2007,Teletoon,Flash
Iljimae The Animation,,26,South Korea,2009,2009,SBS,Traditional
Inami,,26,France,2007,2007,TF1,Traditional
Inanimate Insanity,3,41,United States,2011,Present,YouTube,Flash
Infinity Train,4,40,United States,2019,2021,"Cartoon Network, HBO Max",Traditional
Insektors,2,26,France,1994,1995,"Direct-to-Video, YTV, Channel 4, Canal+, Nickelodeon",CGI
Inside Job,1,10,United States,2021,Present,Netflix,Traditional
Inspector Gadget,4,39,Canada,2015,2018,"Teletoon (seasons 1–2), Family Channel (seasons 3–4)",CGI
Inspector Gadget's Field Trip,2,22,US,1996,1998,The History Channel,Traditional
Interrupting Chicken,TBA,TBA,United States,2022,2022,Apple TV+,Traditional
Invader Zim,2,27,United States,2001,2002,Nickelodeon,Traditional
Invasion America,1,13,US,1998,1998,The WB,Traditional
Invincible,1,8,United States,2021,Present,Amazon Prime Video,Traditional
Iron Man,2,26,US,1994,1996,Syndication,Traditional
Iron Man: Armored Adventures,,52,"Canada, France, United States",2009,2012,Nicktoons,CGI
It's Pony,2,40,Britain,2020,2022,Nickelodeon,Traditional
It’s A Small World,8,,United States,2015,Present,Disney XD,Flash/Traditional
Jack,3,39,Canada,2011,2014,TVOKids,CGI
Jackie Chan Adventures,5,95,"China, United States",2000,2005,Kids' WB,Traditional
Jacob Two-Two,,61,Canada,2003,2006,YTV,Flash (first four seasons; Season 5 uses stop-motion)
Jade Armor,TBA,TBA,France,2022,2022,Cartoon Network / HBO Max,CGI
Jája a Pája,4,26,Czech Republic,1987,1998,"ČT1, ČT2, ČT :D",Stop-Motion
Jake and the Never Land Pirates,4,115,United States,2011,2016,Disney Junior,Flash/Traditional
Jakers! The Adventures of Piggley Winks,,52,"Britain, United States",2003,2007,PBS Kids,CGI
James Bond Jr.,1,65,US,1991,1992,Syndication,Traditional
Jamie's Got Tentacles,3,157,"France, Brazil",2013,2017,"France 3, Gloob (Brazil), Nat Geo Kids (Latin American), Biggs (Portugal)",Flash
Jane and the Dragon,1,26,"Canada, New Zealand",2005,2006,"YTV (Canada), ABC (Australia), Qubo (United States)",CGI
Jay Jay the Jet Plane,4,62,United States,1994,1994,,CGI
Jay Jay the Jet Plane,4,73,US,1998,2005,"PBS Kids, TLC","CGI, Live-Action"
Jeff & Some Aliens,,10,United States,2017,2017,Comedy Central,Traditional
Jelly Jamm,2,78,"Spain, United Kingdom",2011,2014,"Cartoonito (pan-European), Clan (Spain), Channel 5 (United Kingdom), Discovery Kids (Latin American)",CGI
Jellystone!,2,30,United States,2021,Present,HBO Max,Flash
Jerry and the Raiders,,26,Canada,2016,2017,TVOKids,CGI
Jessy and Nessy,1,10,United States,2020,Present,Amazon Prime Video,CGI/Live-Action
Jibber Jabber,,26,Canada,2007,2007,YTV,CGI
Jimmy Two-Shoes,,78,Canada,2009,2012,Teletoon,"Traditional (2009), Flash (2010–2011)"
Jin Jin and the Panda Patrol,1,26,"China, United States",1994,1994,,Traditional
JJ Villard's Fairy Tales,1,6,United States,2020,2020,Adult Swim,Traditional
Johan: The Young Scientist,,26,Malaysia,2004,2004,Inspidea,Traditional
John Callahan's Quads!,2,26,"Australia, Canada",2001,2002,"Teletoon, SBS",Flash
John Dillermand,1,20,Denmark,2021,Present,DR Ramasjang,Stop-Motion
Johnny Bravo,4,66,US,1997,2004,Cartoon Network,Traditional
Johnny Test (2005),6,117,"Canada, United States",2005,2014,"Kids' WB (The WB/The CW) (United States), Cartoon Network (United States), Teletoon (Canada)","Traditional (Season 1), Flash (Season 2 – Season 6)"
Johnny Test (2021),2,40,Canada,2021,Present,Netflix,Toon Boom Harmony
JoJo & Gran Gran,1,10,Britain,2020,Present,CBeebies,Flash
JoJo's Circus,,64,"Canada, United States",2003,2007,Playhouse Disney,Stop motion
Jorel's Brother,4,79,Brazil,2014,2022,Cartoon Network,Flash/Traditional
Joshua Jones,1,26,"UK, Wales",1991,1991,BBC One,Traditional
Journey to the West – Legends of the Monkey King,1,26,China,1999,1999,"China Central Television,",Traditional
Journey to the West – Legends of the Monkey King,1,26,"China, Canada",2000,2000,Teletoon,Traditional
Julius Jr.,2,52,United States,2013,2015,"Nick Jr., Discovery kids",Flash
Jumanji,3,40,US,1996,1999,UPN,Traditional
Jungle Cubs,2,21,US,1996,1998,ABC,Traditional
Jungle Junction,,47,"Britain, United States",2009,2012,Playhouse Disney,CGI
Jungle Show,1,26,"Canada, France",1996,1996,"Teletoon, YTV, Cartoon Network, Fox Kids, Fox Family",Traditional
Jungledyret Hugo,1,13,Denmark,2002,2003,TV2,Traditional
Junglies,1,13,UK,1992,1993,"Cartoon Network, BabyFirstTV",Traditional
Junior Express,5,120,Argentina,2013,2019,Disney Junior (Argentina),"Live action, CGI, Flash"
Junior on the Job,1,10,Brazil,2016,2017,"PlayKids, YouTube",Flash
Juniper Jungle,1,13,UK,1992,1992,BBC,Traditional
Jurassic World Camp Cretaceous,4,37,United States,2020,Present,Netflix,CGI
Justice League,2,52,United States,2001,2004,Cartoon Network,Traditional
Justice League Action,1,52,United States,2016,2018,Cartoon Network,Traditional
Justice League Unlimited,,39,United States,2004,2006,Cartoon Network,Traditional
Justice League: Gods and Monsters Chronicles,1,3,United States,2015,2015,YouTube,Traditional
Justin Time,3,78,Canada,2011,2011,Sprout,CGI
Ka-Pow,1,3,"United States, Canada",2008,2008,"YouTube, Mondo Media",Flash
KaBlam!,4,48,US,1996,2000,Nickelodeon,Traditional
Kaeloo,4,202,France,2010,Present,Canal+,CGI
Kagagi,,13,Canada,2014,2014,APTN Kids,CGI
Kaijudo,,52,United States,2012,2013,The Hub,Traditional
Kajko and Kokosz,1,5,Polish,2021,Present,Netflix,Traditional
Kamp Koral: SpongeBob's Under Years,1,13,United States,2021,Present,Paramount+ / Nickelodeon,CGI
Kangaroo Beach,1,26,Australian,2021,Present,ABC Kids,CGI
Kangaroo Creek Gang,1,26,Australia,2002,2002,Nine Network,Traditional
Kappa Mikey,,52,United States,2006,2007,Nicktoons Network,Flash
Kaput and Zösky,2,49,"Canada, France",2002,2003,"Teletoon, Nicktoons",Traditional
Karma’s World,1,15,United States,2021,Present,Netflix,CGI
Kassai and Leuk,1,26,"Canada, France",1996,1996,Teletoon,Traditional
Kate & Mim-Mim,,65,"Britain, Canada",2014,2018,"CBeebies, Family Jr.",CGI
Katie and Orbie,6,78,Canada,1994,1996,Family Channel,"Traditional (1994–2001), Flash (2002–2003)"
Katie and Orbie,6,78,Canada,2001,2003,Family Channel,"Traditional (1994–2001), Flash (2002–2003)"
Katsuma: The Animated Series,9,"100+ (as of April 1, 2019)",Canada,2010,2019,Showcase,Traditional
Kazoops!,,78,"Australia, Malaysia, Britain",2016,2016,"ABC Kids, TV2, CBeebies, Netflix",CGI
Keluarga Somat,,26,Indonesia,2013,2013,Dreamtoon,CGI
Kenny the Shark,,26,United States,2003,2006,Discovery Kids,Traditional
Kevin Spencer,8,112,Canada,1999,2005,The Comedy Network,Traditional
Kick Buttowski: Suburban Daredevil,2,52,United States,2010,2012,Disney XD,Flash
Kid 'n Play,1,13,US,1990,1990,NBC,Traditional
Kid Cosmic,3,24,United States,2021,2022,Netflix,Traditional
Kid Notorious,,9,United States,2003,2004,Comedy Central,Flash
Kid Paddle,,52,"Belgium, Canada, France",2003,2006,Teletoon,Traditional
Kid vs. Kat,2,52,Canada,2008,2011,"YTV, Disney XD",Flash
Kid-E-Cats,4,,"Russia, United States",2015,Present,"CTC, Nick Jr",Flash
Kiddyzuzaa Land,2,20,United Kingdom,2018,Present,YouTube,Traditional
Kiko,,52,Indonesia,2016,Present,RCTI,CGI
Kikoriki,,273,Russia,2004,Present,,Flash
Killer Bean,1,10+ (2 released so far),United States,2020,Present,YouTube,CGI
Kim Possible,4,87,United States,2002,2007,Disney Channel,Traditional
Kinderwood,1,1,United States,2020,Present,Noggin,Traditional
King,,52,Canada,2003,2005,Family Channel,Traditional
King Arthur and the Knights of Justice,2,26,US,1992,1993,Syndication,Traditional
King Arthur's Disasters,2,26,Britain,2005,2006,CITV,Flash
King of the Hill,13,259,US,1997,2010,Fox,Traditional
"King Shakir, Kral Şakir",4,144,Turkey,2016,Present,Cartoon Network Turkey,Flash
King Star King,1,6,United States,2014,2014,Adult Swim,Flash/Traditional
Kingdom Force,,26,Canada,2019,2021,CBC Television,CGI
Kipo and the Age of Wonderbeasts,3,30,"United States, South Korea",2020,2020,Netflix,Traditional
Kipper,6,78,UK,1997,2000,"Nick Jr., PBS Kids, YTV, CITV",Traditional
Kirby Buckets,3,59,United States,2014,2017,Disney XD,Traditional/Live-Action
Kiri and Lou,,,New Zealand,2019,Present,"TVNZ 2 (New Zealand), CBeebies (United Kingdom), Nick Jr. (United States)",Stop-motion
Kit & Pup,1,52,British,2018,Present,CBeebies,Flash
Kit and Kate,2,104,"Russia, United States",2014,2019,Karusel,Flash
"Kitou, the Six-eyed Monsters",,26,France,2002,2002,TF1,Traditional
Kitty Is Not a Cat,3,130,Australia,2018,2020,7TWO,Flash
Kizazi Moto: Generation Fire,TBA,TBA,United States,2022,2022,Disney+,Flash
Kleo the Misfit Unicorn,1,26,Canada,1996,1996,"Family, Radio-Canada, Treehouse TV, TVO Kids",Traditional
Klutter!,1,8,US,1995,1996,Fox Kids,Traditional
Knuckleheads,,39,Canada,2012,2017,Teletoon at Night,Traditional
Kody Kapow,,26,"Canada, United States",2017,Present,"Sprout, Nat Geo Kids",CGI
Kong: King of the Apes,,13,"Canada, Japan, United States",2016,2018,Netflix,CGI
Kong: The Animated Series,2,40,"Canada, United States",2000,2001,Syndication,Traditional
Krapopolis,TBA,TBA,United States,2022,2022,Fox,Flash
Krypto the Superdog,2,39,United States,2005,2006,Cartoon Network,Traditional
Kulipari,,39,United States,2016,2018,Netflix,Flash
Kung Fu Dino Posse,,60,Britain,2009,2011,CITV,Traditional
Kung Fu Panda: Legends of Awesomeness,,78,United States,2011,2016,"Nickelodeon, Nicktoons",CGI
Kung Fu Panda: The Dragon Knight,1,11,United States,2022,Present,Netflix,CGI
Kung Fu Panda: The Paws of Destiny,1,26,United States,2018,2019,Amazon Video,CGI
Kuu Kuu Harajuku,3,78,"United States, Canada, Malaysia, Australia",2015,2019,10 Peach,Flash
La Familia del Barrio,,70,Mexico,2013,2013,MTV Latin America,Flash
La Granja de Zenón,2,24,Argentina,2016,Present,YouTube,CGI
La Terre vue d'Alban,,122,France,2007,2007,France 3,CGI
La Vaca Lola: La Serie,1,3,Colombia,2019,Present,YouTube,Traditional
Lalaloopsy,2,52,United States,2013,2014,"Nickelodeon, Nick Jr.",Flash
Lamput,3,110,India,2017,Present,Cartoon Network,Flash
Lapitch the Little Shoemaker,1,26,"Croatia, Germany",2000,2000,Tiny Pop,Traditional
Larva,4,260,South Korea,2011,2019,"KBS, Disney XD",CGI
Lascars,2,60,France,1998,2007,Canal +,Traditional
Lauras Stern,1,52,Germany,2002,2011,,Traditional
Lavender Castle,1,26,UK,1999,2000,CITV,"Stop Motion, CGI"
Lazoo,,26,Canada,2017,2019,CBC Kids,Flash
Lazor Wulf,2,20,United States,2019,2021,Adult Swim,"Traditional (2019), Flash (2020)"
Le Petit Nicolas,,104,France,2009,2009,M6,CGI
Le Ricette di Arturo e Kiwi,,52,Italy,2007,2010,Rai 3,Flash
League of Super Evil,,39,Canada,2009,2012,YTV,CGI
Legend of the Three Caballeros,1,13,United States,2018,2018,"DisneyLife, Disney+",Flash
Legend Quest,,26,Mexico,2017,2019,"Netflix, YTV",Flash
Legends of Chamberlain Heights,,20,United States,2016,2017,Comedy Central,Flash
Legends of Chima,3,41,Denmark,2013,2014,Cartoon Network,CGI
Legends of Dawn: The Sacred Stone,1,3,"China, Indonesia, Malaysia, Philippines",2021,Present,"WeTV/Iflix (International), NET (Indonesia), TV9 (Malaysia), Kapamilya Channel/A2Z (Philippines), Netflix (United States)",CGI
Legion of Super Heroes,,26,United States,2006,2007,Kids' WB,Traditional
Lego Bionicle: The Journey to One,,5,"Canada, Denmark",2016,2016,Netflix,CGI
Lego Elves,,8,"Denmark, United States",2017,Present,Netflix,Traditional
Lego Friends: The Power of Friendship,,20,Denmark,2016,2016,Netflix,CGI
Lego Jurassic World: Legend of Isla Nublar,,13,"Canada, United States",2019,2020,"Family Channel, Nickelodeon",CGI
Lego Nexo Knights,4,40,"Denmark, Canada",2015,2017,Cartoon Network,CGI
Lego Star Wars: Droid Tales,1,5,United States,2015,2015,Disney XD,CGI
Lego Star Wars: The Freemaker Adventures,,26,United States,2016,2017,Disney XD,CGI
Lego Star Wars: The Resistance Rises,,5,United States,2016,2016,Disney XD,CGI
Lego Star Wars: The Yoda Chronicles,1,7,Denmark,2013,2014,Cartoon Network,CGI
Leo the Wildlife Ranger,2,126,Singapore,2015,2021,,CGI
Leon,,52,France,2009,2010,France 3,CGI
Let's Go Luna!,2,43,"Canada, United States",2018,Present,"PBS Kids (United States), TVOKids (Canada), Knowledge Kids (Canada), Nat Geo Kids (Latin American)",Flash
"Let's Go, Cozy Coupe",,,British,2020,Present,Youtube,CGI
Liberty's Kids,1,40,United States,2002,2003,PBS Kids,Traditional
Life with Louie,3,39,US,1994,1998,Fox,Traditional
Life's a Zoo,,20,Canada,2008,2008,Teletoon at Night,Stop motion
"Like, Share, Die",1,16,United States,2015,2015,Fusion TV,Flash
Lil' Bush,,17,United States,2007,2008,Comedy Central,Flash
Lil' Elvis and the Truckstoppers,1,26,"Australia, France",1997,1998,ABC Television,Traditional
Lilly the Witch,,52,Germany,2004,2014,TVOkids,"Traditional(season 1,2), Flash (season 3)"
Lilo & Stitch: The Series,2,65,United States,2003,2006,Disney Channel,Traditional
Lily's Driftwood Bay,2,100,Ireland,2014,2017,Nick Jr.,Flash
Liquid Television,3,27,US,1991,1994,"MTV, BBC Two",Traditional
Little Bear,5,65,"Canada, US",1995,2003,"CBC, Nickelodeon",Traditional
Little Big Awesome,1,13,United States,2018,2018,Amazon Video,Flash
Little Bill,4,52,US,1999,2004,"Nickelodeon, Nick Jr., Treehouse TV",Traditional
Little Charmers,2,57,Canada,2015,2017,"Treehouse TV, Nick Jr.",CGI
Little Clowns of Happytown,1,18,US,1987,1988,ABC,Traditional
Little Demon,1,7,United States,2022,Present,FXX,Flash
Little Dracula,1,13,US,1991,1999,Fox Kids,Traditional
Little Dreamers,1,10,South Korea,2022,Present,KBS1,CGI
Little Einsteins,,67,United States,2005,2009,Playhouse Disney,Flash
Little Ellen,2,20,United States,2021,Present,Cartoonito / HBO Max,Flash
Little Hood of All Colors,,13,Brazil,2019,Present,TV Cultura,Flash
Little J & Big Cuz,,26,Australia,2017,2017,NITV,Traditional
Little Krishna,,13,India,2009,2009,Nickelodeon,CGI
Little Monsters,1,52,Netherlands,1998,1999,KRO,Traditional
Little Mouse on the Prairie,1,26,"US, China",1996,1996,"FOX Family, Fox Kids, CCTV, CBBC",Traditional
Little People,,52,"Canada, Britain",2016,2017,Family Jr.,CGI
Little Princess,,100,Britain,2006,2006,Channel 5,Flash
Little Princess School,5,15,Brazil,2008,2008,Direct-To-DVD,Flash
Little Robots,,39,Britain,2003,2003,"BBC Two, CBeebies, Discovery Kids",Stop motion
Little Rosey,1,13,"Canada, US",1990,1990,ABC,Traditional
Little Roy,,52,Ireland,2016,2017,"CBBC, CBeebies",Traditional/Live-action
Little Shop,1,13,US,1991,1991,Fox Kids,Traditional
Little Singham,,,India,2018,Present,Discovery Kids India,Traditional
Little Wizard Tao,,39,"China, South Korea",2009,2010,KBS2,CGI
Little Wizards,1,13,US,1987,1988,ABC,Traditional
Littlest Pet Shop,1,40,US,1995,1996,Syndication,Traditional
Littlest Pet Shop,,104,"Canada, United States",2012,2016,"The Hub Network, Discovery Family",Traditional/Flash
Littlest Pet Shop: A World of Our Own,1,52,United States,2018,2019,Discovery Family,Flash
Liverspots and Astronots,,15,United States,2018,2018,Facebook Watch,Traditional
Lizzie McGuire,3,65,United States,2001,2003,Disney Channel,Traditional/Live-Action
Llama Llama,2,25,United States,2018,2019,Netflix,Flash
Llan-ar-goll-en,2,51,Wales,2013,2016,S4C,Flash/Live-action
Lloyd in Space,4,40,United States,2001,2004,Toon Disney,Traditional
Loggerheads,1,16,Germany,1997,1997,Channel Five,Traditional
Lola & Virginia,,52,"Dekania, Spain",2006,2007,Junior,Flash
Lola & Virginia,1,26,Britain,2005,Present,Disney Channel Spain,Flash
LoliRock,2,52,France,2014,2014,France 4,Flash/Traditional
